ID,Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,StartDate
20,38,No,Research & Development,2 miles,Bachelors,Life Sciences,Very High,Very High,Single,"$3,944.00",5,Better,7/10/2018
21,24,No,Research & Development,11 miles,College,Other,Low,High,Divorced,"$4,011.00",0,Good,24/11/2017
22,36,Yes,Sales,9 miles,Masters,Life Sciences,High,Low,Single,"$3,407.00",7,Better,21/4/2016
23,34,No,Research & Development,7 miles,Masters,Life Sciences,Low,Medium,Single,"$11,994.00",0,Better,6/1/2009
24,21,No,Research & Development,15 miles,College,Life Sciences,High,Very High,Single,"$1,232.00",1,Better,1/4/2021
25,34,Yes,Research & Development,6 miles,Below College,Medical,Medium,Low,Single,"$2,960.00",2,Better,13/11/2017
26,53,No,Research & Development,5 miles,Bachelors,Other,High,High,Divorced,"$19,094.00",4,Good,13/11/2007
27,32,Yes,Research & Development,16 miles,Below College,Life Sciences,Medium,Low,Single,"$3,919.00",1,Better,27/7/2011
28,42,No,Sales,8 miles,Masters,Marketing,High,Medium,Married,"$6,825.00",0,Better,6/6/2012
29,44,No,Research & Development,7 miles,Masters,Medical,Low,Very High,Married,"$10,248.00",3,Better,16/11/1999
30,46,No,Sales,2 miles,Masters,Marketing,Medium,Low,Single,"$18,947.00",3,Good,21/1/2019
31,33,No,Research & Development,2 miles,Bachelors,Medical,High,Very High,Single,"$2,496.00",4,Better,10/3/2020
32,44,No,Research & Development,10 miles,Masters,Other,Very High,Very High,Married,"$6,465.00",2,Best,12/6/2017
33,30,No,Research & Development,9 miles,College,Medical,Very High,High,Single,"$2,206.00",1,Better,1/5/2011
34,39,Yes,Sales,5 miles,Bachelors,Technical Degree,Very High,Very High,Married,"$2,086.00",3,Best,15/9/2020
35,24,Yes,Research & Development,1 miles,Bachelors,Medical,Medium,Very High,Married,"$2,293.00",2,Good,17/12/2019
36,43,No,Research & Development,2 miles,College,Medical,Very High,High,Divorced,"$2,645.00",1,Good,6/4/2016
37,50,Yes,Sales,3 miles,College,Marketing,Low,High,Married,"$2,683.00",1,Better,22/1/2018
38,35,No,Sales,2 miles,Bachelors,Marketing,Very High,Very High,Married,"$2,014.00",1,Better,10/11/2019
39,36,No,Research & Development,5 miles,Masters,Life Sciences,Medium,Low,Married,"$3,419.00",9,Best,12/11/2020
40,33,No,Sales,1 miles,Bachelors,Life Sciences,High,Low,Married,"$5,376.00",2,Better,24/9/2016
41,35,No,Research & Development,4 miles,College,Other,High,Very High,Divorced,"$1,951.00",1,Better,15/8/2020
42,27,No,Research & Development,2 miles,Masters,Life Sciences,Very High,Low,Divorced,"$2,341.00",1,Better,14/12/2020
43,26,Yes,Research & Development,25 miles,Bachelors,Life Sciences,Low,High,Single,"$2,293.00",1,Good,12/6/2020
44,27,No,Sales,8 miles,Bachelors,Life Sciences,Very High,High,Single,"$8,726.00",1,Better,25/5/2012
45,30,No,Research & Development,1 miles,College,Medical,High,Very High,Single,"$4,011.00",1,Better,20/11/2009
46,41,Yes,Research & Development,12 miles,Bachelors,Technical Degree,Medium,High,Married,"$19,545.00",1,Better,11/7/1999
47,34,No,Sales,23 miles,Masters,Marketing,Medium,High,Single,"$4,568.00",0,Better,7/12/2012
48,37,No,Research & Development,19 miles,College,Life Sciences,Medium,Medium,Married,"$3,022.00",4,Better,20/10/2020
49,46,No,Sales,5 miles,Masters,Marketing,Low,Very High,Single,"$5,772.00",4,Better,10/4/2012
50,35,No,Research & Development,8 miles,Below College,Life Sciences,Very High,Very High,Married,"$2,269.00",1,Better,28/2/2020
51,48,Yes,Research & Development,1 miles,College,Life Sciences,Low,High,Single,"$5,381.00",9,Better,16/5/2020
52,28,Yes,Research & Development,5 miles,Masters,Technical Degree,High,High,Single,"$3,441.00",1,Good,3/7/2019
53,44,No,Sales,1 miles,PhD,Marketing,Medium,Low,Divorced,"$5,454.00",5,Good,19/10/2017
54,35,No,Research & Development,11 miles,College,Medical,High,Low,Married,"$9,884.00",2,Better,20/3/2017
55,26,No,Sales,23 miles,Bachelors,Marketing,High,Very High,Married,"$4,157.00",7,Good,22/9/2019
56,33,No,Research & Development,1 miles,College,Life Sciences,Low,Very High,Single,"$13,458.00",1,Better,7/9/2006
57,35,No,Sales,18 miles,PhD,Life Sciences,Medium,Low,Married,"$9,069.00",1,Good,14/4/2012
58,35,No,Research & Development,23 miles,Masters,Medical,High,Low,Married,"$4,014.00",3,Better,23/7/2019
59,31,No,Research & Development,7 miles,Masters,Life Sciences,Very High,Very High,Divorced,"$5,915.00",3,Good,27/9/2014
60,37,No,Research & Development,1 miles,Masters,Life Sciences,Low,High,Divorced,"$5,993.00",1,Best,26/4/2014
61,32,No,Research & Development,1 miles,Bachelors,Medical,Low,Very High,Married,"$6,162.00",1,Better,2/2/2012
62,38,No,Research & Development,29 miles,PhD,Life Sciences,Very High,Very High,Single,"$2,406.00",1,Better,22/6/2011
63,50,No,Research & Development,7 miles,College,Medical,Medium,High,Divorced,"$18,740.00",5,Good,10/6/1994
64,59,No,Sales,25 miles,Bachelors,Life Sciences,Low,Low,Single,"$7,637.00",7,Good,27/9/2000
65,36,No,Research & Development,8 miles,Bachelors,Technical Degree,High,High,Divorced,"$10,096.00",1,Better,16/3/2004
66,55,No,Research & Development,8 miles,Bachelors,Medical,Very High,High,Divorced,"$14,756.00",2,Better,28/5/2016
67,36,No,Research & Development,11 miles,Bachelors,Life Sciences,Medium,Medium,Single,"$6,499.00",1,Better,17/11/2015
68,45,No,Research & Development,7 miles,Bachelors,Life Sciences,Medium,Low,Divorced,"$9,724.00",2,Better,19/9/2020
69,35,No,Research & Development,1 miles,Bachelors,Medical,Medium,Low,Married,"$2,194.00",4,Good,22/12/2018
70,36,Yes,Research & Development,9 miles,Bachelors,Medical,Very High,High,Married,"$3,388.00",0,Good,3/6/2020
71,59,No,Sales,1 miles,Below College,Life Sciences,Low,High,Single,"$5,473.00",7,Good,4/11/2017
72,29,No,Research & Development,2 miles,Bachelors,Life Sciences,High,Medium,Married,"$2,703.00",0,Better,12/12/2016
73,31,No,Research & Development,1 miles,Masters,Medical,High,Medium,Single,"$2,501.00",1,Better,16/10/2020
74,32,No,Research & Development,1 miles,Bachelors,Life Sciences,Medium,Medium,Married,"$6,220.00",1,Better,19/4/2011
75,36,No,Research & Development,6 miles,Bachelors,Life Sciences,Medium,Very High,Married,"$3,038.00",3,Better,10/4/2020
76,31,No,Research & Development,8 miles,Masters,Life Sciences,High,Very High,Single,"$4,424.00",1,Better,17/3/2010
77,35,No,Sales,1 miles,Masters,Marketing,High,Low,Single,"$4,312.00",0,Better,17/12/2006
78,45,No,Research & Development,6 miles,Masters,Other,Very High,Low,Married,"$13,245.00",4,Best,25/11/2021
79,37,No,Research & Development,7 miles,Masters,Medical,Low,High,Single,"$13,664.00",4,Best,4/3/2016
80,46,No,Human Resources,5 miles,College,Medical,Medium,Medium,Divorced,"$5,021.00",8,Better,16/5/2017
81,30,No,Research & Development,1 miles,Below College,Life Sciences,Very High,Very High,Married,"$5,126.00",1,Good,3/7/2011
82,35,No,Research & Development,1 miles,Bachelors,Medical,Medium,High,Single,"$2,859.00",1,Better,18/10/2015
83,55,No,Sales,1 miles,College,Life Sciences,Low,Very High,Married,"$10,239.00",3,Better,27/8/2020
84,38,No,Research & Development,6 miles,Bachelors,Medical,Medium,Very High,Divorced,"$5,329.00",7,Better,24/10/2008
85,34,No,Research & Development,1 miles,College,Medical,Low,Medium,Married,"$4,325.00",1,Better,5/11/2016
86,56,No,Research & Development,7 miles,Bachelors,Life Sciences,Very High,Very High,Single,"$7,260.00",4,Good,21/2/2015
87,23,No,Sales,2 miles,Below College,Technical Degree,High,Low,Divorced,"$2,322.00",3,Better,19/3/2021
88,51,No,Research & Development,9 miles,Masters,Life Sciences,Very High,Very High,Married,"$2,075.00",3,Better,26/2/2017
89,30,No,Research & Development,2 miles,Bachelors,Life Sciences,High,Very High,Married,"$4,152.00",1,Better,13/2/2010
90,46,Yes,Sales,9 miles,College,Medical,High,Very High,Single,"$9,619.00",1,Better,28/10/2012
91,40,No,Research & Development,1 miles,Masters,Life Sciences,High,Medium,Married,"$13,503.00",1,Good,8/6/1999
92,51,No,Sales,21 miles,Masters,Marketing,High,Very High,Single,"$5,441.00",0,Bad,18/3/2011
93,30,No,Sales,4 miles,College,Medical,High,Medium,Divorced,"$5,209.00",1,Good,28/7/2010
94,46,No,Research & Development,1 miles,Bachelors,Medical,High,Low,Married,"$10,673.00",2,Good,22/3/2011
95,32,No,Sales,6 miles,Masters,Medical,Medium,High,Single,"$5,010.00",1,Better,4/5/2010
96,54,No,Research & Development,2 miles,Masters,Technical Degree,Low,High,Married,"$13,549.00",9,Bad,15/8/2017
97,24,No,Sales,3 miles,College,Other,Low,High,Married,"$4,999.00",0,Good,12/9/2018
98,28,No,Sales,4 miles,Bachelors,Medical,Medium,High,Married,"$4,221.00",1,Best,2/9/2016
99,58,No,Sales,10 miles,Masters,Medical,Very High,High,Single,"$13,872.00",0,Good,26/12/1984
100,44,No,Research & Development,23 miles,Bachelors,Medical,Medium,Medium,Married,"$2,042.00",4,Best,20/1/2018
101,37,Yes,Human Resources,6 miles,Masters,Human Resources,High,Low,Divorced,"$2,073.00",4,Better,14/11/2018
102,32,No,Research & Development,1 miles,Below College,Life Sciences,Very High,Low,Single,"$2,956.00",1,Better,13/6/2020
103,20,Yes,Research & Development,6 miles,Bachelors,Life Sciences,Very High,Very High,Single,"$2,926.00",1,Better,19/12/2020
104,34,No,Research & Development,6 miles,Masters,Other,Low,High,Single,"$4,809.00",1,Better,9/2/2005
105,37,No,Research & Development,2 miles,College,Life Sciences,High,Very High,Divorced,"$5,163.00",5,Best,28/3/2020
106,59,No,Human Resources,2 miles,Masters,Human Resources,High,Very High,Married,"$18,844.00",9,Better,28/11/2018
107,50,No,Research & Development,1 miles,Bachelors,Life Sciences,Low,Medium,Married,"$18,172.00",3,Good,22/4/2013
108,25,Yes,Sales,5 miles,Bachelors,Marketing,High,High,Single,"$5,744.00",1,Better,13/3/2015
109,25,No,Research & Development,7 miles,Below College,Medical,Very High,Very High,Married,"$2,889.00",1,Better,24/1/2019
110,22,No,Research & Development,15 miles,Bachelors,Medical,Medium,Very High,Single,"$2,871.00",1,Better,11/11/2021
111,51,No,Research & Development,1 miles,Masters,Medical,Low,Low,Single,"$7,484.00",3,Good,6/6/2008
112,34,Yes,Research & Development,7 miles,Bachelors,Life Sciences,Low,High,Single,"$6,074.00",1,Better,24/2/2012
113,54,No,Human Resources,26 miles,Bachelors,Human Resources,Very High,Very High,Single,"$17,328.00",2,Better,28/3/2016
114,24,No,Research & Development,18 miles,Below College,Life Sciences,Medium,High,Married,"$2,774.00",0,Better,5/7/2016
115,34,No,Research & Development,6 miles,Masters,Life Sciences,High,Medium,Divorced,"$4,505.00",6,Better,25/9/2020
116,37,No,Sales,3 miles,Bachelors,Life Sciences,High,Very High,Single,"$7,428.00",2,Better,27/10/2016
117,34,No,Research & Development,5 miles,Bachelors,Medical,High,Low,Single,"$11,631.00",2,Better,16/11/2010
118,36,No,Sales,11 miles,College,Technical Degree,Medium,Very High,Married,"$9,738.00",0,Better,21/4/2012
119,36,No,Research & Development,3 miles,College,Life Sciences,Low,Very High,Divorced,"$2,835.00",5,Better,22/11/2020
120,43,No,Sales,26 miles,College,Life Sciences,High,Very High,Married,"$16,959.00",1,Best,25/4/1996
121,30,No,Research & Development,23 miles,Bachelors,Life Sciences,Low,High,Divorced,"$2,613.00",1,Good,12/12/2011
122,33,No,Sales,22 miles,College,Marketing,High,Medium,Married,"$6,146.00",0,Best,6/2/2014
123,56,Yes,Research & Development,14 miles,Masters,Life Sciences,Medium,Medium,Married,"$4,963.00",9,Better,6/12/2016
124,51,No,Research & Development,6 miles,Bachelors,Life Sciences,Low,High,Single,"$19,537.00",7,Better,9/6/2001
125,31,Yes,Sales,6 miles,Masters,Life Sciences,Medium,High,Married,"$6,172.00",4,Good,7/4/2014
126,26,No,Research & Development,6 miles,Bachelors,Other,High,Medium,Married,"$2,368.00",1,Good,28/11/2016
127,58,Yes,Research & Development,23 miles,Masters,Medical,Very High,Very High,Married,"$10,312.00",1,Good,24/5/1981
128,19,Yes,Sales,22 miles,Below College,Marketing,Very High,High,Single,"$1,675.00",1,Good,11/11/2021
129,22,No,Research & Development,2 miles,Below College,Technical Degree,High,Very High,Married,"$2,523.00",0,Better,23/11/2019
130,49,No,Research & Development,20 miles,Masters,Medical,High,Low,Married,"$6,567.00",1,Good,27/10/2006
131,43,No,Research & Development,28 miles,Bachelors,Medical,Medium,High,Single,"$4,739.00",4,Better,12/7/2018
132,50,No,Sales,12 miles,Bachelors,Marketing,High,Very High,Single,"$9,208.00",4,Better,25/9/2019
133,31,Yes,Sales,20 miles,Bachelors,Life Sciences,Medium,High,Married,"$4,559.00",3,Better,13/2/2019
134,41,No,Sales,9 miles,Below College,Life Sciences,High,High,Divorced,"$8,189.00",3,Better,11/11/2012
135,26,No,Human Resources,25 miles,Below College,Life Sciences,High,High,Married,"$2,942.00",1,Better,7/11/2013
136,36,No,Research & Development,6 miles,College,Medical,Medium,Medium,Divorced,"$4,941.00",6,Better,24/2/2018
137,51,Yes,Research & Development,8 miles,Masters,Life Sciences,Low,Very High,Single,"$10,650.00",2,Better,3/7/2017
138,39,No,Sales,4 miles,Masters,Life Sciences,Very High,High,Married,"$5,902.00",4,Best,28/10/2006
139,25,No,Sales,28 miles,Bachelors,Life Sciences,Low,High,Married,"$8,639.00",2,Better,7/4/2019
140,30,No,Human Resources,9 miles,Bachelors,Human Resources,High,Very High,Married,"$6,347.00",0,Bad,12/10/2010
141,32,Yes,Research & Development,9 miles,Bachelors,Medical,Low,Low,Single,"$4,200.00",7,Best,12/12/2016
142,45,No,Research & Development,29 miles,Bachelors,Medical,High,Very High,Single,"$3,452.00",5,Good,18/1/2015
143,38,No,Research & Development,3 miles,PhD,Technical Degree,Very High,High,Single,"$4,317.00",3,Better,15/5/2018
144,30,No,Research & Development,18 miles,Bachelors,Life Sciences,Low,High,Single,"$2,632.00",1,Good,18/8/2016
145,32,No,Sales,9 miles,College,Medical,Very High,Very High,Divorced,"$4,668.00",0,Best,27/9/2013
146,30,No,Research & Development,5 miles,Bachelors,Technical Degree,Very High,Low,Divorced,"$3,204.00",5,Better,17/5/2018
147,30,No,Research & Development,2 miles,Below College,Medical,Medium,Very High,Single,"$2,720.00",0,Better,7/3/2016
148,41,No,Research & Development,10 miles,Bachelors,Life Sciences,Very High,Low,Divorced,"$17,181.00",4,Good,14/1/2014
149,41,No,Research & Development,9 miles,Masters,Life Sciences,High,Low,Married,"$2,238.00",2,Better,3/6/2016
150,19,No,Research & Development,3 miles,Below College,Medical,Medium,Medium,Single,"$1,483.00",1,Better,23/4/2020
151,40,No,Research & Development,26 miles,Bachelors,Medical,Medium,Medium,Divorced,"$5,605.00",1,Better,6/9/2001
152,35,No,Sales,1 miles,PhD,Marketing,High,Medium,Married,"$7,295.00",1,Better,25/10/2011
153,53,No,Sales,6 miles,College,Marketing,Medium,High,Married,"$2,306.00",2,Bad,12/3/2014
154,45,No,Research & Development,9 miles,Bachelors,Life Sciences,Medium,Medium,Divorced,"$2,348.00",8,Bad,3/4/2004
155,32,No,Sales,8 miles,Bachelors,Marketing,Medium,Very High,Single,"$8,998.00",1,Better,25/5/2012
156,29,No,Research & Development,1 miles,Below College,Technical Degree,Very High,High,Married,"$4,319.00",1,Better,4/4/2011
157,51,No,Research & Development,7 miles,Masters,Medical,Medium,High,Married,"$6,132.00",2,Better,13/6/2020
158,58,No,Research & Development,9 miles,Bachelors,Medical,Medium,Medium,Married,"$3,346.00",4,Good,10/7/2020
159,40,No,Sales,4 miles,Masters,Marketing,High,Very High,Married,"$10,855.00",7,Good,3/2/2009
160,34,No,Sales,2 miles,Masters,Marketing,High,High,Married,"$2,231.00",6,Better,8/7/2017
161,22,No,Research & Development,19 miles,Below College,Medical,High,Very High,Married,"$2,323.00",1,Better,3/8/2019
162,27,No,Research & Development,9 miles,Bachelors,Medical,Very High,Medium,Divorced,"$2,024.00",6,Bad,12/9/2019
163,28,No,Research & Development,21 miles,Bachelors,Medical,High,Very High,Married,"$2,713.00",1,Bad,24/3/2016
164,57,No,Research & Development,24 miles,College,Life Sciences,High,Very High,Divorced,"$9,439.00",3,Bad,9/3/2016
165,27,No,Research & Development,3 miles,Bachelors,Medical,High,High,Divorced,"$2,566.00",1,Good,25/5/2020
166,50,No,Research & Development,11 miles,Bachelors,Life Sciences,High,Medium,Single,"$19,926.00",3,Better,6/8/2016
167,41,No,Research & Development,14 miles,Bachelors,Life Sciences,Low,High,Divorced,"$2,451.00",4,Better,4/8/2012
168,30,No,Sales,5 miles,Bachelors,Life Sciences,Medium,Very High,Married,"$9,419.00",2,Better,12/4/2011
169,38,No,Sales,1 miles,Masters,Life Sciences,Low,Very High,Single,"$8,686.00",4,Best,28/3/2013
170,32,No,Research & Development,6 miles,PhD,Life Sciences,High,High,Single,"$3,038.00",3,Better,14/2/2016
171,27,No,Research & Development,17 miles,Bachelors,Technical Degree,High,Medium,Married,"$3,058.00",0,Good,27/5/2016
172,19,Yes,Sales,1 miles,Below College,Technical Degree,High,Low,Single,"$2,325.00",0,Best,26/1/2021
173,36,No,Research & Development,3 miles,College,Medical,Very High,Medium,Single,"$2,088.00",4,Good,24/2/2013
174,30,No,Research & Development,9 miles,Bachelors,Medical,High,Low,Divorced,"$3,072.00",1,Better,12/12/2009
175,45,No,Sales,4 miles,College,Life Sciences,High,Low,Divorced,"$5,006.00",4,Best,11/3/2016
176,56,No,Research & Development,8 miles,Bachelors,Life Sciences,High,Low,Divorced,"$4,257.00",4,Better,3/10/2019
177,33,No,Research & Development,2 miles,Bachelors,Life Sciences,High,Very High,Single,"$2,500.00",0,Best,14/9/2018
178,19,Yes,Research & Development,2 miles,Bachelors,Life Sciences,Medium,Very High,Single,"$1,102.00",1,Good,1/1/2020
179,46,No,Sales,1 miles,College,Marketing,Medium,Low,Divorced,"$10,453.00",1,Better,8/11/1997
180,38,No,Research & Development,9 miles,College,Life Sciences,High,Very High,Single,"$2,288.00",1,Better,23/3/2019
181,31,No,Research & Development,12 miles,Below College,Medical,High,Very High,Married,"$3,929.00",8,Better,11/8/2017
182,34,No,Research & Development,27 miles,College,Medical,Very High,Medium,Single,"$2,311.00",2,Better,2/2/2018
183,41,Yes,Sales,20 miles,College,Marketing,Medium,Medium,Single,"$3,140.00",1,Good,28/11/2017
184,50,No,Research & Development,1 miles,Bachelors,Medical,High,High,Married,"$3,690.00",2,Good,8/2/2018
185,53,No,Research & Development,13 miles,College,Medical,Very High,Low,Divorced,"$4,450.00",1,Better,16/3/2017
186,33,No,Research & Development,14 miles,Bachelors,Medical,Very High,Medium,Married,"$2,756.00",1,Better,11/3/2013
187,40,No,Research & Development,4 miles,Below College,Medical,Very High,High,Married,"$19,033.00",1,Better,12/9/2001
188,55,No,Research & Development,14 miles,Masters,Medical,High,Medium,Single,"$18,722.00",8,Better,20/10/1997
189,34,No,Research & Development,2 miles,Below College,Life Sciences,Very High,High,Married,"$9,547.00",1,Good,13/3/2011
190,51,No,Research & Development,3 miles,Bachelors,Medical,Very High,Medium,Single,"$13,734.00",3,Better,5/11/2014
191,52,No,Research & Development,1 miles,Masters,Life Sciences,High,High,Married,"$19,999.00",0,Better,4/6/1988
192,27,No,Research & Development,9 miles,Bachelors,Medical,Very High,Medium,Single,"$2,279.00",1,Good,5/8/2014
193,35,Yes,Research & Development,23 miles,College,Life Sciences,Medium,High,Married,"$5,916.00",3,Better,6/6/2020
194,43,No,Research & Development,7 miles,Bachelors,Medical,Very High,Very High,Divorced,"$2,089.00",4,Best,16/4/2016
195,45,No,Research & Development,2 miles,College,Medical,Low,Very High,Married,"$16,792.00",9,Better,10/5/2001
196,37,No,Research & Development,21 miles,Bachelors,Life Sciences,Medium,Low,Married,"$3,564.00",1,Good,15/9/2013
197,35,No,Research & Development,2 miles,Bachelors,Medical,Medium,Medium,Single,"$4,425.00",5,Better,14/6/2015
198,42,No,Research & Development,21 miles,College,Medical,High,High,Divorced,"$5,265.00",2,Better,2/9/2016
199,38,No,Research & Development,2 miles,Masters,Life Sciences,Very High,High,Married,"$6,553.00",9,Better,27/2/2020
200,38,No,Research & Development,29 miles,Bachelors,Technical Degree,Very High,Very High,Married,"$6,261.00",3,Bad,20/2/2014
201,27,No,Research & Development,1 miles,Below College,Technical Degree,High,Low,Married,"$4,298.00",5,Better,14/6/2019
202,49,No,Research & Development,18 miles,Masters,Life Sciences,Very High,Very High,Divorced,"$6,804.00",1,Better,22/1/2014
203,34,No,Research & Development,10 miles,Masters,Medical,Very High,High,Divorced,"$3,815.00",1,Best,6/12/2016
204,40,No,Research & Development,19 miles,College,Medical,High,Very High,Married,"$2,741.00",8,Best,25/7/2014
205,38,Yes,Research & Development,29 miles,Below College,Medical,Medium,Low,Married,"$6,673.00",7,Better,14/7/2020
206,29,Yes,Sales,27 miles,Bachelors,Marketing,Medium,Very High,Married,"$7,639.00",1,Good,9/4/2011
207,22,No,Research & Development,5 miles,Bachelors,Life Sciences,Very High,Medium,Divorced,"$2,328.00",1,Good,4/11/2017
208,36,No,Research & Development,18 miles,Below College,Medical,Medium,Very High,Single,"$2,153.00",1,Better,26/5/2013
209,40,No,Research & Development,9 miles,PhD,Life Sciences,Very High,Very High,Married,"$4,876.00",9,Bad,2/2/2018
210,46,No,Research & Development,1 miles,Masters,Medical,Very High,Low,Divorced,"$9,396.00",7,Better,21/7/2017
211,32,Yes,Sales,4 miles,Masters,Medical,Very High,Very High,Married,"$10,400.00",1,Good,11/6/2007
212,30,No,Research & Development,1 miles,Below College,Life Sciences,High,High,Single,"$8,474.00",1,Better,25/7/2010
213,27,No,Sales,20 miles,Bachelors,Life Sciences,Very High,High,Single,"$9,981.00",1,Better,27/10/2014
214,51,No,Research & Development,8 miles,Masters,Life Sciences,Medium,Medium,Married,"$12,490.00",5,Bad,13/8/2011
215,30,Yes,Research & Development,3 miles,Bachelors,Technical Degree,Very High,Low,Single,"$2,657.00",5,Better,25/4/2016
216,41,No,Sales,6 miles,Bachelors,Life Sciences,Very High,Very High,Single,"$13,591.00",3,Better,7/8/2020
217,30,Yes,Sales,26 miles,Masters,Marketing,High,Low,Single,"$6,696.00",5,Good,22/3/2015
218,29,Yes,Research & Development,1 miles,Bachelors,Technical Degree,High,High,Single,"$2,058.00",0,Good,18/11/2015
219,45,No,Sales,6 miles,Bachelors,Medical,Very High,Very High,Single,"$8,865.00",6,Better,11/3/2002
220,54,No,Sales,3 miles,Bachelors,Marketing,Very High,Low,Married,"$5,940.00",2,Better,14/11/2015
221,36,No,Research & Development,5 miles,College,Life Sciences,Very High,Medium,Single,"$5,914.00",8,Best,9/11/2008
222,33,No,Research & Development,4 miles,Masters,Medical,High,Medium,Married,"$2,622.00",6,Better,8/8/2018
223,37,No,Research & Development,11 miles,Bachelors,Other,Medium,Very High,Divorced,"$12,185.00",1,Better,24/9/2011
224,38,No,Sales,3 miles,Bachelors,Life Sciences,Low,High,Divorced,"$10,609.00",0,Good,19/10/2005
225,31,No,Research & Development,1 miles,Masters,Medical,High,High,Married,"$4,345.00",0,Better,12/11/2016
226,59,No,Research & Development,3 miles,Bachelors,Life Sciences,High,Very High,Married,"$2,177.00",3,Better,14/11/2020
227,37,No,Sales,4 miles,Masters,Marketing,Low,Very High,Divorced,"$2,793.00",4,Better,19/7/2012
228,29,No,Sales,1 miles,Below College,Medical,Medium,Very High,Married,"$7,918.00",1,Better,11/7/2010
229,35,No,Sales,1 miles,Bachelors,Marketing,High,High,Single,"$8,789.00",1,Best,20/8/2011
230,29,Yes,Research & Development,18 miles,Below College,Medical,High,Very High,Single,"$2,389.00",1,Good,17/10/2017
231,52,No,Research & Development,2 miles,Bachelors,Life Sciences,High,Very High,Single,"$3,212.00",7,Good,12/7/2019
232,42,No,Research & Development,4 miles,College,Technical Degree,High,Very High,Married,"$19,232.00",1,Better,11/1/1999
233,59,No,Human Resources,6 miles,College,Medical,Medium,High,Married,"$2,267.00",8,Good,12/3/2019
234,50,No,Sales,1 miles,Masters,Medical,Very High,Very High,Divorced,"$19,517.00",3,Good,2/4/2014
235,33,Yes,Research & Development,14 miles,Bachelors,Medical,High,Very High,Married,"$2,436.00",5,Bad,28/8/2016
236,43,No,Sales,16 miles,Bachelors,Marketing,Very High,Very High,Married,"$16,064.00",5,Better,22/7/2004
237,33,Yes,Research & Development,2 miles,College,Life Sciences,Low,Low,Married,"$2,707.00",7,Best,1/3/2012
238,52,No,Sales,2 miles,Masters,Life Sciences,Low,High,Single,"$19,068.00",1,Best,8/2/1988
239,32,No,Sales,4 miles,College,Life Sciences,High,Medium,Married,"$3,931.00",2,Better,6/12/2017
240,32,Yes,Research & Development,1 miles,Bachelors,Life Sciences,Very High,High,Single,"$3,730.00",0,Bad,1/1/2018
241,39,No,Research & Development,1 miles,Masters,Medical,High,High,Divorced,"$2,232.00",7,Better,14/10/2018
242,32,No,Sales,26 miles,Masters,Marketing,High,Very High,Married,"$4,465.00",0,Better,12/12/2018
243,41,No,Research & Development,19 miles,College,Life Sciences,High,Low,Divorced,"$3,072.00",2,Good,17/2/2020
244,40,No,Research & Development,24 miles,College,Technical Degree,Low,Very High,Divorced,"$3,319.00",1,Better,3/12/2012
